Trienio,Semestre,Curso_Limpo,Campus,Turno,Min,Max,Media,N
2020-2022,2°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,23.778,27.14,25.453,3
2020-2022,2°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,20.722,22.905,21.549,3
2020-2022,2°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,26.258,51.569,39.057,8
2020-2022,2°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,26.192,46.35,36.271,2
2020-2022,2°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,44.853,44.853,44.853,1
2020-2022,2°,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,46.563,70.415,56.962,4
2020-2022,2°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,92.136,97.83,95.43,5
2020-2022,2°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,91.231,91.231,91.231,1
2020-2022,2°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,89.624,89.624,89.624,1
2020-2022,2°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,88.329,88.329,88.329,1
2020-2022,2°,EDUCAÇÃO FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-32.66,-25.631,-28.985,8
2020-2022,2°,EDUCAÇÃO FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-34.16,-32.883,-33.522,2
2020-2022,2°,EDUCAÇÃO FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-35.456,-35.456,-35.456,1
2020-2022,2°,EDUCAÇÃO FÍSICA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-62.597,-52.361,-57.452,9
2020-2022,2°,EDUCAÇÃO FÍSICA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-111.316,-63.149,-78.847,6
2020-2022,2°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,24.949,28.348,26.601,3
2020-2022,2°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,-3.447,6.191,1.035,6
2020-2022,2°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,21.221,22.922,22.072,2
2020-2022,2°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,-8.231,-5.228,-6.73,2
2020-2022,2°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,18.537,19.372,18.954,2
2020-2022,2°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,-8.991,-8.991,-8.991,1
2020-2022,2°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,17.928,17.928,17.928,1
2020-2022,2°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-75.709,89.462,-8.503,8
2020-2022,2°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,83.67,87.229,85.45,2
2020-2022,2°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,82.804,82.804,82.804,1
2020-2022,2°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,-41.192,-23.662,-30.694,42
2020-2022,2°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,-57.538,-41.503,-49.089,24
2020-2022,2°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,-74.171,-57.855,-67.268,18
2020-2022,2°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,-93.481,-76.838,-82.41,7
2020-2022,2°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-28.054,-16.376,-22.3,4
2020-2022,2°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,-35.197,-29.016,-31.528,4
2020-2022,2°,FARMÁCIA (BACHARELADO),CEILÂNDIA,DIURNO,-50.805,-21.618,-35.588,10
2020-2022,2°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-28.174,-28.174,-28.174,1
2020-2022,2°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,-44.789,-42.347,-43.568,2
2020-2022,2°,FARMÁCIA (BACHARELADO),CEILÂNDIA,DIURNO,-63.01,-51.117,-58.063,8
2020-2022,2°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,-48.044,-45.624,-46.834,2
2020-2022,2°,FARMÁCIA (BACHARELADO),CEILÂNDIA,DIURNO,-69.531,-63.144,-66.261,4
2020-2022,2°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,-53.611,-53.611,-53.611,1
2020-2022,2°,FARMÁCIA (BACHARELADO),CEILÂNDIA,DIURNO,-80.875,-77.479,-79.177,2
2020-2022,2°,FISIOTERAPIA (BACHARELADO),CEILÂNDIA,DIURNO,-6.475,-4.726,-5.6,2
2020-2022,2°,FONOAUDIOLOGIA (BACHARELADO),CEILÂNDIA,DIURNO,-51.477,-40.685,-45.447,6
2020-2022,2°,FONOAUDIOLOGIA (BACHARELADO),CEILÂNDIA,DIURNO,-52.277,-52.277,-52.277,1
2020-2022,2°,FONOAUDIOLOGIA (BACHARELADO),CEILÂNDIA,DIURNO,-56.29,-56.29,-56.29,1
2020-2022,2°,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-15.388,-9.789,-12.293,6
2020-2022,2°,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-20.98,-18.902,-19.782,3
2020-2022,2°,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-26.916,-20.613,-24.882,4
2020-2022,2°,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-28.448,44.769,-3.711,3
2020-2022,2°,JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,-16.419,51.436,16.665,4
2020-2022,2°,JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,-17.867,47.361,3.979,3
2020-2022,2°,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-29.622,-19.202,-23.946,6
2020-2022,2°,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-60.065,-32.1,-46.286,5
2020-2022,2°,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-77.605,-64.986,-71.296,2
2020-2022,2°,MEDICINA VETERINÁRIA (BACHARELADO),DARCY RIBEIRO,DIURNO,40.547,42.644,41.333,3
2020-2022,2°,NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,24.138,29.257,26.638,5
2020-2022,2°,NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,18.972,21.856,20.36,4
2020-2022,2°,NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,17.162,18.445,17.975,3
2020-2022,2°,NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,16.266,17.142,16.73,3
2020-2022,2°,ODONTOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,55.399,55.399,55.399,1
2020-2022,2°,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-78.36,-58.4,-67.318,14
2020-2022,2°,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-97.867,-80.585,-89.226,2
2020-2022,2°,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICÓLOGO),DARCY RIBEIRO,DIURNO,74.239,75.344,74.792,2
2019-2021,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,36.705,120.306,55.742,13
2019-2021,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-2.777,98.221,23.465,13
2019-2021,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,31.78,32.177,31.983,3
2019-2021,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-7.013,-3.507,-5.304,3
2019-2021,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-18.153,-10.481,-14.317,2
2019-2021,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-9.125,49.697,17.442,17
2019-2021,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-27.314,-14.448,-20.237,9
2019-2021,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-32.479,-28.335,-30.671,3
2019-2021,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-33.617,-33.191,-33.404,2
2019-2021,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,22.845,137.056,91.957,10
2019-2021,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,19.181,76.568,37.349,6
2019-2021,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,61.498,72.109,66.986,6
2019-2021,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,18.235,18.235,18.235,1
2019-2021,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,60.044,61.413,60.728,2
2019-2021,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,60.022,60.022,60.022,1
2019-2021,1°,ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,-70.173,-5.298,-29.839,7
2019-2021,1°,ARTES VISUAIS (BACHARELADO)*,DARCY RIBEIRO,DIURNO,-68.761,10.926,-15.798,5
2019-2021,1°,BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-80.935,60.65,-21.481,11
2019-2021,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,87.359,154.249,110.616,9
2019-2021,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,74.627,83.31,78.897,5
2019-2021,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,71.758,73.491,72.68,4
2019-2021,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,115.002,192.188,139.258,9
2019-2021,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,93.273,111.206,101.924,6
2019-2021,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,91.104,91.104,91.104,1
2019-2021,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,47.264,128.476,69.763,10
2019-2021,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,41.65,46.06,43.864,4
2019-2021,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,40.545,40.664,40.604,2
2019-2021,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,39.954,39.954,39.954,1
2019-2021,1°,CIÊNCIAS AMBIENTAIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-63.616,118.331,-13.805,7
2019-2021,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,61.373,143.742,92.189,9
2019-2021,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,46.285,55.995,49.972,3
2019-2021,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,13.056,64.385,29.036,15
2019-2021,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-20.052,46.127,0.295,12
2019-2021,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-6.471,5.103,-0.487,6
2019-2021,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-68.443,-47.052,-54.532,4
2019-2021,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-13.518,-7.663,-10.434,5
2019-2021,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-77.193,-69.066,-73.13,2
2019-2021,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-17.111,-17.111,-17.111,1
2019-2021,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,11.533,175.077,74.18,43
2019-2021,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-0.395,91.369,54.464,14
2019-2021,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-11.21,82.601,25.949,7
2019-2021,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-15.478,74.442,43.219,3
2019-2021,1°,CIÊNCIAS NATURAIS (LICENCIATURA),PLANALTINA,NOTURNO,-76.854,-20.469,-53.997,9
2019-2021,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-20.863,34.167,-6.053,17
2019-2021,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-34.12,-21.081,-28.998,4
2019-2021,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-49.859,-37.342,-43.6,2
2019-2021,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-61.279,-52.515,-56.897,2
2019-2021,1°,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,-17.502,62.26,9.714,14
2019-2021,1°,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,-47.249,-17.748,-32.161,6
2019-2021,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,113.772,155.752,132.946,12
2019-2021,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,77.019,114.418,87.082,12
2019-2021,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,110.177,113.534,111.76,5
2019-2021,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,74.255,74.44,74.348,2
2019-2021,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,109.245,109.245,109.245,1
2019-2021,1°,EDUCAÇÃO FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,8.352,45.082,23.968,11
2019-2021,1°,EDUCAÇÃO FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,6.549,8.241,7.373,3
2019-2021,1°,EDUCAÇÃO FÍSICA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-21.256,46.723,-1.38,11
2019-2021,1°,EDUCAÇÃO FÍSICA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-24.415,-22.911,-23.765,4
2019-2021,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,53.945,104.45,69.611,9
2019-2021,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,26.432,71.32,45.489,11
2019-2021,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,37.764,40.64,38.803,3
2019-2021,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,22.267,26.079,24.279,3
2019-2021,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,36.528,37.25,36.889,2
2019-2021,1°,ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,26.947,94.16,51.415,8
2019-2021,1°,ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-23.316,14.783,-6.707,3
2019-2021,1°,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,96.375,155.602,118.505,9
2019-2021,1°,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,57.499,94.091,73.7,6
2019-2021,1°,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,44.107,50.913,46.78,3
2019-2021,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,131.45,163.169,145.754,8
2019-2021,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,121.26,129.683,124.33,6
2019-2021,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,115.839,119.923,118.23,3
2019-2021,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,114.818,114.818,114.818,1
2019-2021,1°,ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,42.183,131.038,71.11,15
2019-2021,1°,ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,9.587,40.879,21.487,8
2019-2021,1°,ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-2.961,7.765,3.694,3
2019-2021,1°,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1.695,71.841,24.47,12
2019-2021,1°,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-12.896,-5.317,-8.503,4
2019-2021,1°,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-20.448,-20.448,-20.448,1
2019-2021,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,112.072,189.172,131.965,9
2019-2021,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,73.896,106.479,88.381,10
2019-2021,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,48.304,73.618,64.369,6
2019-2021,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,34.986,43.778,40.636,3
2019-2021,1°,ENGENHARIA FLORESTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-71.066,30.842,-14.315,12
2019-2021,1°,ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,80.147,193.348,127.541,17
2019-2021,1°,ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,76.548,114.886,97.434,12
2019-2021,1°,ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,37.795,90.223,67.324,9
2019-2021,1°,ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,33.034,67.189,53.97,8
2019-2021,1°,ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,70.109,168.79,108.081,11
2019-2021,1°,ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,38.765,65.192,49.34,8
2019-2021,1°,ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,31.477,38.648,34.639,4
2019-2021,1°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,50.649,175.146,83.175,61
2019-2021,1°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,35.869,49.905,43.147,29
2019-2021,1°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,29.939,35.389,32.832,15
2019-2021,1°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,26.128,29.914,28.031,8
2019-2021,1°,ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,34.508,121.268,64.507,14
2019-2021,1°,ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,11.03,34.181,21.847,6
2019-2021,1°,ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-8.9,8.506,1.062,3
2019-2021,1°,ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-27.848,-12.973,-20.41,2
2019-2021,1°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,60.297,114.584,79.935,9
2019-2021,1°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,14.0,29.537,19.843,5
2019-2021,1°,FARMÁCIA (BACHARELADO),CEILÂNDIA,DIURNO,-1.212,74.556,27.219,10
2019-2021,1°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,34.795,50.289,39.645,5
2019-2021,1°,FARMÁCIA (BACHARELADO),CEILÂNDIA,DIURNO,-1.66,-1.66,-1.66,1
2019-2021,1°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,15.482,33.752,22.678,4
2019-2021,1°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,12.5,12.885,12.692,2
2019-2021,1°,FILOSOFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-69.896,33.582,-21.334,13
2019-2021,1°,FILOSOFIA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-52.983,-14.057,-35.553,3
2019-2021,1°,FISIOTERAPIA (BACHARELADO),CEILÂNDIA,DIURNO,30.618,121.109,70.13,11
2019-2021,1°,FISIOTERAPIA (BACHARELADO),CEILÂNDIA,DIURNO,20.541,30.35,24.896,4
2019-2021,1°,FISIOTERAPIA (BACHARELADO),CEILÂNDIA,DIURNO,19.214,20.414,19.814,2
2019-2021,1°,FONOAUDIOLOGIA (BACHARELADO),CEILÂNDIA,DIURNO,-14.934,11.358,-1.501,6
2019-2021,1°,FONOAUDIOLOGIA (BACHARELADO),CEILÂNDIA,DIURNO,-17.182,-17.182,-17.182,1
2019-2021,1°,FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,91.722,138.765,111.193,9
2019-2021,1°,FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,34.617,84.588,54.785,7
2019-2021,1°,FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,30.269,33.261,31.765,2
2019-2021,1°,FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,24.711,24.711,24.711,1
2019-2021,1°,GEOFÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-48.237,8.279,-19.831,4
2019-2021,1°,GEOGRAFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-11.709,44.499,18.574,8
2019-2021,1°,GEOGRAFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-45.797,-15.474,-31.59,6
2019-2021,1°,GEOGRAFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-53.212,-47.201,-49.36,3
2019-2021,1°,GEOGRAFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-56.719,-56.719,-56.719,1
2019-2021,1°,GEOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-68.729,68.345,13.995,10
2019-2021,1°,GESTÃO DE AGRONEGÓCIO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-61.028,11.189,-33.76,7
2019-2021,1°,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-51.535,51.644,-4.519,9
2019-2021,1°,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-88.856,-53.567,-66.518,8
2019-2021,1°,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,44.047,105.499,71.797,9
2019-2021,1°,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,31.837,40.511,35.7,4
2019-2021,1°,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,31.443,31.443,31.443,1
2019-2021,1°,HISTÓRIA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-59.585,24.313,-22.535,10
2019-2021,1°,HISTÓRIA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-44.375,-44.375,-44.375,1
2019-2021,1°,JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,-28.614,117.234,28.356,17
2019-2021,1°,JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,-59.81,79.756,-9.086,4
2019-2021,1°,LICENCIATURA EM CIÊNCIAS BIOLÓGICAS,DARCY RIBEIRO,NOTURNO,5.948,116.233,32.398,9
2019-2021,1°,LICENCIATURA EM CIÊNCIAS BIOLÓGICAS,DARCY RIBEIRO,NOTURNO,-6.634,5.831,0.362,4
2019-2021,1°,LICENCIATURA EM FÍSICA,DARCY RIBEIRO,NOTURNO,-68.138,94.263,22.158,4
2019-2021,1°,LICENCIATURA EM MATEMÁTICA,DARCY RIBEIRO,NOTURNO,-49.204,9.671,-19.356,6
2019-2021,1°,LICENCIATURA EM QUÍMICA,DARCY RIBEIRO,NOTURNO,-32.77,-32.77,-32.77,1
2019-2021,1°,LÍNGUA E LITERATURA JAPONESA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-62.925,18.808,-28.978,5
2019-2021,1°,LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-98.76,13.701,-38.876,5
2019-2021,1°,LÍNGUA FRANCESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-44.511,28.361,-14.339,4
2019-2021,1°,LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,32.546,50.645,43.476,4
2019-2021,1°,LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,23.597,23.597,23.597,1
2019-2021,1°,LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,21.884,21.884,21.884,1
2019-2021,1°,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-55.946,52.962,22.672,15
2019-2021,1°,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-59.797,10.921,-7.352,4
2019-2021,1°,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,9.343,9.343,9.343,1
2019-2021,1°,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-70.531,78.089,-18.923,7
2019-2021,1°,MATEMÁTICA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,22.51,91.155,40.139,9
2019-2021,1°,MATEMÁTICA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,13.143,19.531,16.337,2
2019-2021,1°,MATEMÁTICA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,11.514,11.514,11.514,1
2019-2021,1°,MEDICINA (BACHARELADO),DARCY RIBEIRO,DIURNO,173.841,206.948,184.208,9
