Trienio,Semestre,Curso,Curso_Limpo,Campus,Turno,Min,Max,Media,N
2023-2025,1º,CIÊNCIAS AMBIENTAIS (BACHARELADO),CIÊNCIAS AMBIENTAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-60.711,-15.392,-38.34,5
2023-2025,1º,CIÊNCIAS BIOLÓGICAS (BACHARELADO),CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,78.793,119.236,100.085,9
2023-2025,1º,CIÊNCIAS BIOLÓGICAS (LICENCIATURA),CIÊNCIAS BIOLÓGICAS (LICENCIATURA),DARCY RIBEIRO,DIURNO,-14.729,54.739,15.396,15
2023-2025,1º,CIÊNCIAS CONTÁBEIS (BACHARELADO),CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-27.789,82.737,15.47,34
2023-2025,1º,CIÊNCIAS ECONÔMICAS (BACHARELADO),CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,98.037,136.512,115.996,11
2023-2025,1º,CIÊNCIAS NATURAIS (LICENCIATURA),CIÊNCIAS NATURAIS (LICENCIATURA),DARCY RIBEIRO,DIURNO,-78.391,13.11,-47.42,11
2023-2025,1º,CIÊNCIAS SOCIAIS – ANTROPOLOGIA/SOCIOLOGIA (BACHARELADO/LICENCIATURA),CIÊNCIAS SOCIAIS – ANTROPOLOGIA/SOCIOLOGIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-15.532,69.84,13.536,27
2023-2025,1º,COMPUTAÇÃO (LICENCIATURA),COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,DIURNO,-22.177,45.581,11.765,17
2023-2025,1º,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,DIURNO,8.45,66.357,35.601,13
2023-2025,1º,COMUNICAÇÃO SOCIAL – AUDIOVISUAL (BACHARELADO),COMUNICAÇÃO SOCIAL – AUDIOVISUAL (BACHARELADO),DARCY RIBEIRO,DIURNO,69.433,134.182,91.85,4
2023-2025,1º,COMUNICAÇÃO SOCIAL – PUBLICIDADE E PROPAGANDA (BACHARELADO),COMUNICAÇÃO SOCIAL – PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,56.963,86.414,67.864,4
2023-2025,1º,DESIGN (BACHARELADO),DESIGN (BACHARELADO),DARCY RIBEIRO,DIURNO,87.407,110.73,96.504,4
2023-2025,1º,DIREITO (BACHARELADO),DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,104.746,172.039,133.004,26
2023-2025,1º,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,1.609,38.076,15.261,22
2023-2025,1º,ENFERMAGEM (BACHARELADO),ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,28.045,92.811,56.68,20
2023-2025,1º,ENGENHARIA AMBIENTAL (BACHARELADO),ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-53.928,39.353,-14.567,15
2023-2025,1º,ENGENHARIA CIVIL (BACHARELADO),ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,71.072,110.0,85.217,9
2023-2025,1º,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,120.918,167.223,138.636,9
2023-2025,1º,ENGENHARIA DE PRODUÇÃO (BACHARELADO),ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,49.032,130.073,81.109,15
2023-2025,1º,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,7.513,63.406,40.047,10
2023-2025,1º,ENGENHARIA ELÉTRICA (BACHARELADO),ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,97.075,144.38,118.454,11
2023-2025,1º,ENGENHARIA FLORESTAL (BACHARELADO),ENGENHARIA FLORESTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-69.015,65.667,-21.586,19
2023-2025,1º,ENGENHARIA MECATRÔNICA (BACHARELADO),ENGENHARIA MECATRÔNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,84.017,170.136,115.968,9
2023-2025,1º,ENGENHARIA MECÂNICA (BACHARELADO),ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,83.117,151.18,103.689,9
