Trienio,Semestre,Curso,Curso_Limpo,Campus,Turno,Min,Max,Media,N
2022-2024,1º,LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,12.131,53.836,26.722,4
2022-2024,1º,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-4.089,70.605,28.542,11
2022-2024,1º,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (LICENCIATURA),LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-48.148,-20.068,-32.864,5
2022-2024,1º,MATEMÁTICA (BACHARELADO/LICENCIATURA),MATEMÁTICA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,17.719,98.631,47.648,12
2022-2024,1º,MEDICINA (BACHARELADO),MEDICINA (BACHARELADO),DARCY RIBEIRO,DIURNO,174.435,185.491,178.092,10
2022-2024,1º,MEDICINA VETERINÁRIA (BACHARELADO),MEDICINA VETERINÁRIA (BACHARELADO),DARCY RIBEIRO,DIURNO,66.363,91.945,79.812,13
2022-2024,1º,MUSEOLOGIA (BACHARELADO),MUSEOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-61.582,-45.25,-53.416,2
2022-2024,1º,MÚSICA (LICENCIATURA)*,MÚSICA (LICENCIATURA)*,DARCY RIBEIRO,DIURNO,-21.906,78.393,17.538,3
2022-2024,1º,NUTRIÇÃO (BACHARELADO),NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,58.199,78.849,66.538,11
2022-2024,1º,ODONTOLOGIA (BACHARELADO),ODONTOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,72.814,94.658,79.576,8
2022-2024,1º,PEDAGOGIA (LICENCIATURA),PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-90.365,59.509,-8.107,37
2022-2024,1º,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICÓLOGO),PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICÓLOGO),DARCY RIBEIRO,DIURNO,94.728,143.243,109.514,15
2022-2024,1º,QUÍMICA (BACHARELADO),QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,33.936,108.254,60.972,8
2022-2024,1º,QUÍMICA TECNOLÓGICA (BACHARELADO),QUÍMICA TECNOLÓGICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-69.808,35.421,-29.602,6
2022-2024,1º,RELAÇÕES INTERNACIONAIS (BACHARELADO),RELAÇÕES INTERNACIONAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,81.547,136.622,96.814,12
2022-2024,1º,SAÚDE COLETIVA (BACHARELADO),SAÚDE COLETIVA (BACHARELADO),DARCY RIBEIRO,DIURNO,-90.959,3.222,-47.895,14
2022-2024,1º,SERVIÇO SOCIAL (BACHARELADO),SERVIÇO SOCIAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-48.961,19.794,-17.211,17
2022-2024,1º,"TEORIA, CRÍTICA E HISTÓRIA DA ARTE (BACHARELADO)","TEORIA, CRÍTICA E HISTÓRIA DA ARTE (BACHARELADO)",DARCY RIBEIRO,DIURNO,-66.561,22.399,-21.639,6
2022-2024,1º,TERAPIA OCUPACIONAL (BACHARELADO),TERAPIA OCUPACIONAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-9.814,29.962,8.757,10
2022-2024,1º,TURISMO (BACHARELADO),TURISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,-113.422,10.951,-52.988,5
2022-2024,2º,(BACHARELADOS)**,(BACHARELADOS)**,DARCY RIBEIRO,DIURNO,-2.835,50.424,22.944,165
2022-2024,2º,ADMINISTRAÇÃO (BACHARELADO),ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-86.767,12.807,-23.833,48
2022-2024,2º,AGRONOMIA (BACHARELADO),AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-95.148,73.077,-62.998,24
2022-2024,2º,ARQUITETURA E URBANISMO (BACHARELADO),ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,-12.019,77.537,33.678,26
2022-2024,2º,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO),ARTES CÊNICAS,DARCY RIBEIRO,DIURNO,24.18,29.223,26.967,3
2022-2024,2º,ARTES VISUAIS (BACHARELADO),ARTES VISUAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-49.153,9.382,-20.489,21
2022-2024,2º,ARTES VISUAIS (LICENCIATURA),ARTES VISUAIS (LICENCIATURA),DARCY RIBEIRO,DIURNO,-78.146,70.753,-9.019,13
2022-2024,2º,BIOTECNOLOGIA (BACHARELADO),BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-77.641,58.662,-17.383,28
2022-2024,2º,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,97.634,126.56,110.371,18
2022-2024,2º,CIÊNCIA POLÍTICA (BACHARELADO),CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-3.609,27.872,9.954,28
2022-2024,2º,CIÊNCIAS BIOLÓGICAS (BACHARELADO),CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,45.298,55.263,49.81,10
2022-2024,2º,CIÊNCIAS CONTÁBEIS (BACHARELADO),CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-102.261,49.671,-42.207,27
2022-2024,2º,CIÊNCIAS ECONÔMICAS (BACHARELADO),CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,39.718,75.802,59.47,23
2022-2024,2º,COMPUTAÇÃO (LICENCIATURA),COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,DIURNO,-105.03,-44.569,-63.213,11
2022-2024,2º,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-98.302,-18.384,-46.982,8
2022-2024,2º,COMUNICAÇÃO SOCIAL – AUDIOVISUAL (BACHARELADO),COMUNICAÇÃO SOCIAL – AUDIOVISUAL (BACHARELADO),DARCY RIBEIRO,DIURNO,29.267,57.784,37.9,5
2022-2024,2º,COMUNICAÇÃO SOCIAL – PUBLICIDADE E PROPAGANDA (BACHARELADO),COMUNICAÇÃO SOCIAL – PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,31.405,48.42,39.771,9
2022-2024,2º,DESIGN – PROGRAMAÇÃO VISUAL/PROJETO DO PRODUTO (BACHARELADO),DESIGN – PROGRAMAÇÃO VISUAL/PROJETO DO PRODUTO (BACHARELADO),DARCY RIBEIRO,DIURNO,39.507,69.182,52.468,8
2022-2024,2º,DIREITO (BACHARELADO),DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,74.722,117.929,97.241,30
2022-2024,2º,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-45.535,46.02,-27.432,50
2022-2024,2º,ENFERMAGEM (BACHARELADO),ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,-6.622,33.032,10.285,40
2022-2024,2º,ENGENHARIA CIVIL (BACHARELADO),ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,-8.597,63.663,32.63,30
2022-2024,2º,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,84.476,115.572,101.009,17
2022-2024,2º,ENGENHARIA DE PRODUÇÃO (BACHARELADO),ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-66.153,37.897,-13.889,14
2022-2024,2º,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-61.976,7.755,-24.624,21
2022-2024,2º,ENGENHARIA ELÉTRICA (BACHARELADO),ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-52.004,47.542,-22.886,8
2022-2024,2º,ENGENHARIA MECATRÔNICA – CONTROLE E AUTOMAÇÃO (BACHARELADO),ENGENHARIA MECATRÔNICA – CONTROLE E AUTOMAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-53.525,37.891,0.676,26
2022-2024,2º,ENGENHARIA MECÂNICA (BACHARELADO),ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-105.128,31.098,-20.78,26
2022-2024,2º,ENGENHARIA QUÍMICA (BACHARELADO),ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-31.736,7.947,-20.061,5
2022-2024,2º,ESTATÍSTICA (BACHARELADO),ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-86.083,-0.406,-27.472,7
2022-2024,2º,FARMÁCIA (BACHARELADO),FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-79.778,42.986,-4.961,62
2022-2024,2º,FISIOTERAPIA (BACHARELADO),FISIOTERAPIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-3.235,16.934,7.541,16
2022-2024,2º,FONOAUDIOLOGIA (BACHARELADO),FONOAUDIOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-39.262,27.97,-14.429,21
2022-2024,2º,HISTÓRIA (BACHARELADO/LICENCIATURA),HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-39.676,17.254,-9.882,21
2022-2024,2º,JORNALISMO (BACHARELADO),JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,61.389,78.377,69.064,5
2022-2024,2º,LETRAS – TRADUÇÃO – INGLÊS (BACHARELADO),LETRAS – TRADUÇÃO – INGLÊS (BACHARELADO),DARCY RIBEIRO,DIURNO,-63.287,-20.242,-38.098,12
2022-2024,2º,LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-16.187,25.042,-3.771,7
2022-2024,2º,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-45.165,-4.114,-27.744,15
2022-2024,2º,MATEMÁTICA (BACHARELADO/LICENCIATURA),MATEMÁTICA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-65.029,17.561,-28.201,13
2022-2024,2º,MEDICINA (BACHARELADO),MEDICINA (BACHARELADO),DARCY RIBEIRO,DIURNO,161.143,173.057,164.198,14
2022-2024,2º,MEDICINA VETERINÁRIA (BACHARELADO),MEDICINA VETERINÁRIA (BACHARELADO),DARCY RIBEIRO,DIURNO,38.121,63.333,52.747,14
2022-2024,2º,NUTRIÇÃO (BACHARELADO),NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,21.939,56.753,38.296,18
2022-2024,2º,ODONTOLOGIA (BACHARELADO),ODONTOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,47.89,71.127,59.22,8
2022-2024,2º,PEDAGOGIA (LICENCIATURA),PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-93.951,63.94,-46.585,35
2022-2024,2º,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICÓLOGO),PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICÓLOGO),DARCY RIBEIRO,DIURNO,73.199,93.909,82.1,12
2022-2024,2º,QUÍMICA (BACHARELADO),QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-87.245,32.131,-15.696,30
2022-2024,2º,RELAÇÕES INTERNACIONAIS (BACHARELADO),RELAÇÕES INTERNACIONAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,66.8,80.765,73.525,13
2022-2024,2º,TERAPIA OCUPACIONAL (BACHARELADO),TERAPIA OCUPACIONAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-59.686,-12.674,-38.495,25
2021-2023,1º,(BACHARELADO) - DARCY RIBEIRO (DIURNO),(BACHARELADO),DARCY RIBEIRO,DIURNO,-47.775,48.385,16.708,10
2021-2023,1º,(BACHARELADOS)** - DARCY RIBEIRO (NOTURNO),(BACHARELADOS)**,DARCY RIBEIRO,NOTURNO,52.524,144.063,81.948,95
2021-2023,1º,ADMINISTRAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,26.201,94.873,57.324,19
2021-2023,1º,ADMINISTRAÇÃO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-27.681,52.003,-2.527,25
2021-2023,1º,AGRONOMIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-20.694,85.304,16.967,25
2021-2023,1º,ARQUITETURA E URBANISMO (BACHARELADO) - DARCY RIBEIRO (DIURNO),ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,83.25,125.136,101.308,12
2021-2023,1º,ARQUITETURA E URBANISMO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,59.498,87.641,71.671,7
2021-2023,1º,ARQUIVOLOGIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,-55.63,-13.001,-36.353,7
2021-2023,1º,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),ARTES CÊNICAS,DARCY RIBEIRO,DIURNO,4.851,24.387,14.018,4
2021-2023,1º,ARTES VISUAIS (BACHARELADO)* - DARCY RIBEIRO (DIURNO),ARTES VISUAIS (BACHARELADO)*,DARCY RIBEIRO,DIURNO,-17.763,47.739,15.44,13
2021-2023,1º,BIBLIOTECONOMIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-99.731,28.164,-38.979,14
2021-2023,1º,BIOTECNOLOGIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,60.904,132.613,93.36,13
2021-2023,1º,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,142.133,188.751,154.967,15
2021-2023,1º,CIÊNCIA POLÍTICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,47.383,76.944,58.972,12
2021-2023,1º,CIÊNCIAS AMBIENTAIS (BACHARELADO) - DARCY RIBEIRO (NOTURNO),CIÊNCIAS AMBIENTAIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-51.442,9.203,-35.451,6
2021-2023,1º,CIÊNCIAS BIOLÓGICAS (BACHARELADO) - DARCY RIBEIRO (DIURNO),CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,79.249,139.272,102.205,13
2021-2023,1º,CIÊNCIAS CONTÁBEIS (BACHARELADO) - DARCY RIBEIRO (DIURNO),CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-3.138,74.209,22.593,27
2021-2023,1º,CIÊNCIAS CONTÁBEIS (BACHARELADO) - DARCY RIBEIRO (NOTURNO),CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-69.227,45.134,-23.407,10
2021-2023,1º,CIÊNCIAS ECONÔMICAS (BACHARELADO) - DARCY RIBEIRO (DIURNO),CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,88.437,150.5,106.813,18
2021-2023,1º,CIÊNCIAS NATURAIS (LICENCIATURA) - UNB PLANALTINA (FUP),CIÊNCIAS NATURAIS (LICENCIATURA),PLANALTINA,DIURNO,-85.11,9.258,-37.733,8
2021-2023,1º,CIÊNCIAS SOCIAIS - ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),CIÊNCIAS SOCIAIS,DARCY RIBEIRO,DIURNO,-19.3,73.106,11.992,34
2021-2023,1º,COMPUTAÇÃO (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-42.998,71.725,6.445,22
2021-2023,1º,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO) - DARCY RIBEIRO (NOTURNO),COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,-77.466,57.848,-6.009,20
2021-2023,1º,COMUNICAÇÃO SOCIAL - AUDIOVISUAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),COMUNICAÇÃO SOCIAL,DARCY RIBEIRO,DIURNO,56.245,103.109,71.22,6
2021-2023,1º,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO) - DARCY RIBEIRO (DIURNO),COMUNICAÇÃO SOCIAL,DARCY RIBEIRO,DIURNO,67.927,79.509,72.216,5
2021-2023,1º,DESIGN - PROGRAMAÇÃO VISUAL/PROJETO DO PRODUTO (BACHARELADO) - DARCY RIBEIRO (DIURNO),DESIGN,DARCY RIBEIRO,DIURNO,57.384,107.697,81.682,6
2021-2023,1º,DIREITO (BACHARELADO) - DARCY RIBEIRO (DIURNO),DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,116.335,173.239,138.434,18
2021-2023,1º,DIREITO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,100.214,131.453,113.129,15
2021-2023,1º,EDUCAÇÃO FÍSICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),EDUCAÇÃO FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,15.322,78.06,33.713,12
2021-2023,1º,EDUCAÇÃO FÍSICA (LICENCIATURA) - DARCY RIBEIRO (DIURNO),EDUCAÇÃO FÍSICA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-23.616,39.102,0.325,15
2021-2023,1º,ENFERMAGEM (BACHARELADO) - DARCY RIBEIRO (DIURNO),ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,46.302,128.899,70.423,15
2021-2023,1º,ENFERMAGEM (BACHARELADO) - DARCY RIBEIRO (NOTURNO),ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,NOTURNO,36.848,65.958,47.629,12
2021-2023,1º,ENGENHARIA AMBIENTAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-20.516,67.115,24.143,21
2021-2023,1º,ENGENHARIA CIVIL (BACHARELADO) - DARCY RIBEIRO (DIURNO),ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,56.995,120.301,73.143,15
2021-2023,1º,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,112.925,156.459,126.039,12
2021-2023,1º,ENGENHARIA DE PRODUÇÃO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-75.749,104.096,29.638,22
2021-2023,1º,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,11.369,61.652,28.636,13
2021-2023,1º,ENGENHARIA ELÉTRICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,82.499,156.3,117.232,17
2021-2023,1º,ENGENHARIA FLORESTAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),ENGENHARIA FLORESTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-53.021,42.301,-9.659,7
2021-2023,1º,ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),ENGENHARIA MECATRÔNICA,DARCY RIBEIRO,DIURNO,1.84,156.247,81.481,21
2021-2023,1º,ENGENHARIA MECÂNICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,48.882,136.666,88.459,18
2021-2023,1º,ENGENHARIA QUÍMICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,41.337,136.761,76.816,20
2021-2023,1º,ESTATÍSTICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,10.746,136.549,52.612,23
2021-2023,1º,FARMÁCIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,61.479,148.69,87.73,13
2021-2023,1º,FARMÁCIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),FARMÁCIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,1.36,88.621,24.888,24
2021-2023,1º,FILOSOFIA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),FILOSOFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-46.731,34.653,-12.396,14
2021-2023,1º,FISIOTERAPIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),FISIOTERAPIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,21.889,79.217,39.488,16
2021-2023,1º,FONOAUDIOLOGIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),FONOAUDIOLOGIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,11.271,64.645,30.293,10
2021-2023,1º,FÍSICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-30.858,141.578,31.362,14
2021-2023,1º,GEOFÍSICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),GEOFÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-47.521,-2.055,-19.997,6
2021-2023,1º,GEOGRAFIA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),GEOGRAFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-53.956,44.373,-13.344,16
2021-2023,1º,GEOLOGIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),GEOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-69.169,97.846,-10.314,14
2021-2023,1º,GESTÃO DE AGRONEGÓCIO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),GESTÃO DE AGRONEGÓCIO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-83.888,-27.976,-55.638,8
2021-2023,1º,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO) - DARCY RIBEIRO (NOTURNO),GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-50.388,89.961,-10.923,24
2021-2023,1º,HISTÓRIA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,27.072,120.935,59.154,13
2021-2023,1º,HISTÓRIA (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),HISTÓRIA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-69.357,12.295,-23.945,8
2021-2023,1º,JORNALISMO (BACHARELADO) - DARCY RIBEIRO (DIURNO),JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,54.785,130.233,93.063,7
2021-2023,1º,LETRAS - PORTUGUÊS DO BRASIL COMO SEGUNDA LÍNGUA (LICENCIATURA) - DARCY RIBEIRO (DIURNO),LETRAS,DARCY RIBEIRO,DIURNO,-49.96,58.052,-7.274,7
2021-2023,1º,LETRAS - TRADUÇÃO - FRANCÊS (BACHARELADO) - DARCY RIBEIRO (DIURNO),LETRAS,DARCY RIBEIRO,DIURNO,-27.088,108.22,40.566,2
2021-2023,1º,LETRAS - TRADUÇÃO - INGLÊS (BACHARELADO) - DARCY RIBEIRO (DIURNO),LETRAS,DARCY RIBEIRO,DIURNO,-22.54,26.575,1.784,6
2021-2023,1º,LETRAS - TRADUÇÃO ESPANHOL (BACHARELADO) - DARCY RIBEIRO (NOTURNO),LETRAS,DARCY RIBEIRO,NOTURNO,-56.295,-56.295,-56.295,1
2021-2023,1º,LICENCIATURA EM ARTES CÊNICAS - DARCY RIBEIRO (DIURNO),LICENCIATURA EM ARTES CÊNICAS,DARCY RIBEIRO,DIURNO,-1.077,21.881,11.29,5
2021-2023,1º,LICENCIATURA EM ARTES CÊNICAS - DARCY RIBEIRO (NOTURNO),LICENCIATURA EM ARTES CÊNICAS,DARCY RIBEIRO,NOTURNO,25.467,25.467,25.467,1
2021-2023,1º,LICENCIATURA EM CIÊNCIAS BIOLÓGICAS - DARCY RIBEIRO (NOTURNO),LICENCIATURA EM CIÊNCIAS BIOLÓGICAS,DARCY RIBEIRO,NOTURNO,-26.626,67.671,10.312,18
2021-2023,1º,LICENCIATURA EM FÍSICA - DARCY RIBEIRO (NOTURNO),LICENCIATURA EM FÍSICA,DARCY RIBEIRO,NOTURNO,55.585,55.585,55.585,1
2021-2023,1º,LICENCIATURA EM MATEMÁTICA - DARCY RIBEIRO (NOTURNO),LICENCIATURA EM MATEMÁTICA,DARCY RIBEIRO,NOTURNO,-73.474,22.858,-27.23,6
2021-2023,1º,LICENCIATURA EM QUÍMICA - DARCY RIBEIRO (NOTURNO),LICENCIATURA EM QUÍMICA,DARCY RIBEIRO,NOTURNO,-21.346,1.634,-8.994,4
2021-2023,1º,LÍNGUA E LITERATURA JAPONESA (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),LÍNGUA E LITERATURA JAPONESA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-5.043,-5.043,-5.043,1
2021-2023,1º,LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-13.667,-13.667,-13.667,1
